ticker,hypothesis,action,qty,price,price_favorable,session
IMVT,Broad-watch baseline,partial,50.0000,39.7100,39.7100,2026-07-10
IMVT,Broad-watch baseline,exit,50.0000,39.2400,39.2800,2026-07-13
RLJ,Broad-watch baseline,exit,100.0000,12.0300,12.0300,2026-07-23
SVIX,Broad-watch baseline,exit,100.0000,23.7600,23.9402,2026-07-08
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
APLE,Broad-watch baseline,exit,100.0000,16.8500,16.8500,2026-07-21
ARMK,Broad-watch baseline,partial,50.0000,58.0000,58.0000,2026-07-14
ARMK,Broad-watch baseline,exit,50.0000,57.1300,57.1300,2026-07-15
BRKR,Broad-watch baseline,exit,100.0000,60.7500,60.7500,2026-07-24
CALY,Broad-watch baseline,exit,100.0000,18.9100,18.9100,2026-07-20
CNC,Broad-watch baseline,exit,100.0000,66.9613,68.0950,2026-07-15
CXW,Broad-watch baseline,exit,100.0000,31.6200,31.6200,2026-07-22
DHC,Broad-watch baseline,exit,100.0000,9.1950,9.1950,2026-07-23
FTRE,Broad-watch baseline,partial,50.0000,19.2000,19.2000,2026-07-27
FTRE,Broad-watch baseline,exit,50.0000,18.3400,18.3400,2026-07-31
RLJ,Broad-watch baseline,exit,100.0000,12.0300,12.0300,2026-07-23
WERN,Broad-watch baseline,partial,50.0000,47.2900,47.2900,2026-07-21
WERN,Broad-watch baseline,exit,50.0000,45.2700,45.2700,2026-07-23
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
ARMK,Broad-watch baseline,partial,50.0000,58.0000,58.0000,2026-07-14
ARMK,Broad-watch baseline,exit,50.0000,57.1300,57.1300,2026-07-15
BRKR,Broad-watch baseline,exit,100.0000,60.7500,60.7500,2026-07-24
CNC,Broad-watch baseline,exit,100.0000,66.9613,68.0950,2026-07-15
FTRE,Broad-watch baseline,partial,50.0000,19.2000,19.2000,2026-07-27
FTRE,Broad-watch baseline,exit,50.0000,18.3400,18.3400,2026-07-31
HNGE,Broad-watch baseline,exit,100.0000,88.9000,88.9000,2026-07-10
MRVI,Broad-watch baseline,partial,50.0000,7.2400,7.2400,2026-07-17
MRVI,Broad-watch baseline,exit,50.0000,6.5500,6.5500,2026-07-29
RLJ,Broad-watch baseline,exit,100.0000,12.0300,12.0300,2026-07-23
RSI,Broad-watch baseline,partial,50.0000,33.5100,33.5100,2026-07-14
